district
Agra
Aligarh
Ambedkar Nagar
Amethi
Amroha
Auraiya
Azamgarh
Badaun
Baghpat
Bahraich
Ballia
Balrampur
Banda
Barabanki
Bareilly
Basti
Bhadohi
Bijnor
Budaun
Bulandshahr
Chandauli
Chitrakoot
Deoria
Etah
Etawah
Farrukhabad
Fatehpur
Firozabad
Gautam Buddh Nagar
Ghaziabad
Ghazipur
Gonda
Gorakhpur
Hamirpur
Hapur
Hardoi
Hathras
Jalaun
Jaunpur
Jhansi
Kannauj
Kanpur Dehat
Kanpur Nagar
Kasganj
Kaushambi
Kushinagar
Lakhimpur Kheri
Lalitpur
Lucknow
Maharajganj
Mahoba
Mainpuri
Mathura
Mau
Meerut
Mirzapur
Moradabad
Muzaffarnagar
Pilibhit
Pratapgarh
Prayagraj
Raebareli
Rampur
Saharanpur
Sambhal
Sant Kabir Nagar
Shahjahanpur
Shamli
Shrawasti
Sitapur
Sultanpur
Unnao
Varanasi
